diet_id,user_id,meal_type,food_items,calories_intake,meal_date
1,1,Snack,"Mutton Rogan Josh, Cereal",930,29-05-2025
2,2,Snack,"Coffee, Spaghetti Bolognese",1111,23-05-2025
3,3,Breakfast,"Porridge, Fried Rice, Pad Thai, Green Tea",1183,22-05-2025
4,4,Dinner,"Idli, Fried Rice, Spring Rolls, Upma, Muesli",427,24-05-2025
5,5,Breakfast,"Pho, Burrito, Pad Thai",866,08-06-2025
6,6,Lunch,"Caesar Salad, Hot Dog",860,24-05-2025
7,7,Dinner,"Poha, Idli, Dal Tadka, Rajma Chawal",276,28-05-2025
8,8,Breakfast,"Smoothie Bowl, Ramen",469,06-06-2025
9,9,Dinner,"Burger, Scrambled Egg, Green Tea, Fried Rice",544,02-06-2025
10,10,Dinner,"Butter Naan, Hot Dog, Burrito, Pad Thai, Ramen",794,14-06-2025
11,11,Lunch,"Sambar Rice, Muesli",661,31-05-2025
12,12,Breakfast,"Caesar Salad, Vada, Chicken Wrap, Masala Dosa",145,29-05-2025
13,13,Breakfast,"Green Curry, Bibimbap, Tacos",180,04-06-2025
14,14,Breakfast,"Ramen, Caesar Salad, Scrambled Egg",1081,23-05-2025
15,15,Breakfast,"Rajma Chawal, Nachos, Tandoori Chicken, Chicken Curry",210,13-06-2025
16,16,Snack,"Sambar Rice, Coffee, French Fries, Omelette",1024,28-05-2025
17,17,Dinner,"Yogurt, Omelette, Grilled Chicken, Fried Rice",289,28-05-2025
18,18,Lunch,"Chicken Wrap, Cereal, Grilled Chicken",303,06-06-2025
19,19,Snack,"Caesar Salad, Green Tea, Grilled Chicken",959,21-05-2025
20,20,Lunch,"Mac and Cheese, Cereal, Pad Thai, Poha",360,05-06-2025
21,21,Breakfast,"Rajma Chawal, Green Tea",579,11-06-2025
22,22,Snack,"Grilled Chicken, Greek Salad",418,27-05-2025
23,23,Snack,"Vada, Milkshake, Lemon Rice, Scrambled Egg, French Fries",1133,14-06-2025
24,24,Dinner,"Masala Dosa, Green Tea",1195,01-06-2025
25,25,Lunch,"Pho, Beef Steak, Spaghetti Bolognese",962,09-06-2025
26,26,Lunch,"Green Tea, Lamb Chops, Milkshake, Smoothie Bowl",424,31-05-2025
27,27,Snack,"Grilled Chicken, Dal Tadka, Masala Dosa, Chicken Wrap, Beef Steak",227,29-05-2025
28,28,Dinner,"Lemon Rice, Manchurian, Burger, Kadhi Pakora, Tandoori Chicken",722,25-05-2025
29,29,Breakfast,"Pasta Alfredo, Lamb Chops, Masala Dosa, Ramen",230,17-05-2025
30,30,Dinner,"Vada, Green Tea, Tandoori Chicken, Mac and Cheese",928,23-05-2025
31,31,Lunch,"Fruit Salad, Manchurian",300,15-06-2025
32,32,Dinner,"Dal Tadka, Spring Rolls, Pav Bhaji, Chicken Curry",804,02-06-2025
33,33,Snack,"Smoothie Bowl, Buttermilk, Milkshake",122,30-05-2025
34,34,Lunch,"Cereal, Tempura, Bibimbap, Buttermilk, Fried Rice",109,13-06-2025
35,35,Lunch,"Greek Salad, Bibimbap, Chole Bhature",794,04-06-2025
36,36,Lunch,"Green Tea, Cereal",212,15-06-2025
37,37,Dinner,"Burger, Boiled Egg, Hot Dog, Green Tea",1183,27-05-2025
38,38,Snack,"Biryani, Dal Tadka, Cereal, Spaghetti Bolognese, Chicken Curry",1181,23-05-2025
39,39,Dinner,"Pav Bhaji, Bibimbap",205,13-06-2025
40,40,Snack,"Pho, Chole Bhature, Kadhi Pakora, Lamb Chops",257,21-05-2025
41,41,Snack,"Smoothie Bowl, Chicken Curry, Manchurian, Caesar Salad, Fried Rice",1112,09-06-2025
42,42,Dinner,"Yogurt, Lassi, Tacos",922,03-06-2025
43,43,Breakfast,"Caesar Salad, Tom Yum Soup, Spring Rolls",1200,15-06-2025
44,44,Lunch,"Palak Paneer, Omelette",767,14-06-2025
45,45,Snack,"Milkshake, Sambar Rice, Kadhi Pakora, Idli",1066,05-06-2025
46,46,Snack,"Green Curry, Muesli, Chicken Curry",987,18-05-2025
47,47,Snack,"Cereal, Kadhi Pakora, Palak Paneer, Aloo Paratha, Greek Salad",530,17-05-2025
48,48,Lunch,"Quesadilla, Upma, Manchurian, Kadhi Pakora, Ramen",796,31-05-2025
